date,day_of_week,day_name,month,is_weekend,is_holiday,temperature_celsius,weather,has_promotion,store_location,peak_hour,ice_creams_sold,revenue_usd,predicted_value,prediction_error,model_name,model_type,model_algorithm,model_train_mse,model_train_mae,model_train_r2,model_test_mse,model_test_mae,model_test_r2,model_mse,model_rmse,model_mae,model_r2_score,model_has_feature_importance
2025-01-01,2,Wednesday,1,False,False,17.6,Cloudy,False,Downtown,13,20,100,25.756785714285712,-5.756785714285712,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-02,3,Thursday,1,False,False,14.1,Sunny,True,Beach,17,10,50,10.0,0.0,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-03,4,Friday,1,False,False,18.4,Sunny,False,Beach,15,25,125,26.735333333333337,-1.7353333333333367,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-04,5,Saturday,1,True,False,15.2,Sunny,False,Downtown,17,10,50,10.0,0.0,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-05,6,Sunday,1,True,True,17.6,Cloudy,False,Beach,13,28,140,25.756785714285712,2.243214285714288,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-06,0,Monday,1,False,False,14.2,Sunny,True,Downtown,16,10,50,10.0,0.0,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-07,1,Tuesday,1,False,False,18.9,Sunny,False,Downtown,14,37,185,35.885,1.115000000000002,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-08,2,Wednesday,1,False,False,17.7,Rainy,False,Downtown,13,14,70,21.60747619047619,-7.607476190476191,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-09,3,Thursday,1,False,False,14.7,Sunny,False,Beach,16,10,50,10.0,0.0,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
2025-01-10,4,Friday,1,False,False,19.4,Sunny,False,Beach,16,39,195,46.89333333333333,-7.893333333333331,Habla_Simple,regression,random_forest,79.1055580056449,6.295484375,0.9643903419634627,187.86459614068704,9.372316220238096,0.889725628825994,187.86459614068704,13.706370640716202,9.372316220238096,0.889725628825994,True
