property_id,sale_price,predicted_value,prediction_error,model_mse,model_mae,model_r2
P004,482356.45,489771.84356421465,-7415.393564214639,6078576671.636124,59416.38766376416,0.7817424818310943
P005,486809.84,502368.67755514896,-15558.83755514893,6078576671.636124,59416.38766376416,0.7817424818310943
P006,379378.77,442902.7199721383,-63523.949972138274,6078576671.636124,59416.38766376416,0.7817424818310943
P007,614664.47,556445.1826578574,58219.28734214255,6078576671.636124,59416.38766376416,0.7817424818310943
P008,493452.67,447831.7653351333,45620.904664866684,6078576671.636124,59416.38766376416,0.7817424818310943
P009,300799.26,238579.72268409515,62219.53731590486,6078576671.636124,59416.38766376416,0.7817424818310943
P010,153851.05,153978.77039683564,-127.72039683564799,6078576671.636124,59416.38766376416,0.7817424818310943
P011,299876.86,344168.68285488617,-44291.82285488618,6078576671.636124,59416.38766376416,0.7817424818310943
P012,818862.82,713936.112656916,104926.70734308392,6078576671.636124,59416.38766376416,0.7817424818310943
P013,314133.29,332140.3061260716,-18007.016126071627,6078576671.636124,59416.38766376416,0.7817424818310943
P014,542078.3,545475.0399407274,-3396.7399407273624,6078576671.636124,59416.38766376416,0.7817424818310943
P015,164537.58,121000.818274057,43536.76172594298,6078576671.636124,59416.38766376416,0.7817424818310943
P016,243904.21,267983.63131283526,-24079.42131283527,6078576671.636124,59416.38766376416,0.7817424818310943
P017,382522.86,386979.5807102551,-4456.720710255089,6078576671.636124,59416.38766376416,0.7817424818310943
P018,164101.24,128190.61164071341,35910.62835928658,6078576671.636124,59416.38766376416,0.7817424818310943
P019,160664.84,133182.58894896577,27482.251051034225,6078576671.636124,59416.38766376416,0.7817424818310943
P020,416509.81,559226.486265887,-142716.67626588704,6078576671.636124,59416.38766376416,0.7817424818310943
P021,189570.45,196919.71537435148,-7349.2653743514675,6078576671.636124,59416.38766376416,0.7817424818310943
P022,167467.13,96626.7140526541,70840.4159473459,6078576671.636124,59416.38766376416,0.7817424818310943
P023,235824.0,247276.8550303462,-11452.855030346196,6078576671.636124,59416.38766376416,0.7817424818310943
P024,290133.34,236337.82095060102,53795.51904939901,6078576671.636124,59416.38766376416,0.7817424818310943
P025,385474.62,356331.6577814936,29142.962218506378,6078576671.636124,59416.38766376416,0.7817424818310943
P026,507317.23,511152.6471497379,-3835.417149737943,6078576671.636124,59416.38766376416,0.7817424818310943
P027,260896.23,267931.7855868407,-7035.5555868406955,6078576671.636124,59416.38766376416,0.7817424818310943
P028,251160.19,350598.91797407996,-99438.72797407996,6078576671.636124,59416.38766376416,0.7817424818310943
P029,700711.93,589287.7690851702,111424.16091482982,6078576671.636124,59416.38766376416,0.7817424818310943
P030,990594.02,768477.1678857487,222116.85211425135,6078576671.636124,59416.38766376416,0.7817424818310943
P031,275532.24,155103.63149673515,120428.60850326484,6078576671.636124,59416.38766376416,0.7817424818310943
P032,438235.66,433763.29499068065,4472.365009319328,6078576671.636124,59416.38766376416,0.7817424818310943
P033,222017.87,257570.32121768547,-35552.45121768548,6078576671.636124,59416.38766376416,0.7817424818310943
P034,600648.77,505980.7545687137,94668.0154312863,6078576671.636124,59416.38766376416,0.7817424818310943
P035,473538.05,477633.65647517424,-4095.6064751742524,6078576671.636124,59416.38766376416,0.7817424818310943
P036,314066.57,302803.6659998561,11262.904000143928,6078576671.636124,59416.38766376416,0.7817424818310943
P037,453158.52,453673.5606698827,-515.04066988267,6078576671.636124,59416.38766376416,0.7817424818310943
P038,337783.51,499284.85076132417,-161501.34076132416,6078576671.636124,59416.38766376416,0.7817424818310943
P039,172987.6,174713.30674624327,-1725.7067462432606,6078576671.636124,59416.38766376416,0.7817424818310943
P040,532220.32,483385.9980584574,48834.321941542556,6078576671.636124,59416.38766376416,0.7817424818310943
P041,499999.66,477153.947297239,22845.712702760997,6078576671.636124,59416.38766376416,0.7817424818310943
P042,502074.08,543939.9518408147,-41865.87184081465,6078576671.636124,59416.38766376416,0.7817424818310943
P043,405885.83,553090.6245560888,-147204.7945560888,6078576671.636124,59416.38766376416,0.7817424818310943
P044,606249.31,564250.4943362833,41998.815663716756,6078576671.636124,59416.38766376416,0.7817424818310943
P045,378184.29,376008.17865917925,2176.111340820731,6078576671.636124,59416.38766376416,0.7817424818310943
P046,178062.21,247250.88498792867,-69188.67498792868,6078576671.636124,59416.38766376416,0.7817424818310943
P047,524022.47,515925.0599327674,8097.4100672325585,6078576671.636124,59416.38766376416,0.7817424818310943
P048,337920.62,428858.2506286304,-90937.6306286304,6078576671.636124,59416.38766376416,0.7817424818310943
P049,477312.57,459269.00327499723,18043.566725002776,6078576671.636124,59416.38766376416,0.7817424818310943
P050,192988.88,199542.22456964827,-6553.344569648267,6078576671.636124,59416.38766376416,0.7817424818310943
P051,416797.3,462561.42492402904,-45764.12492402905,6078576671.636124,59416.38766376416,0.7817424818310943
P052,280294.75,284710.0253054574,-4415.275305457413,6078576671.636124,59416.38766376416,0.7817424818310943
P053,517016.09,415916.6849498588,101099.40505014121,6078576671.636124,59416.38766376416,0.7817424818310943
P054,190695.57,277692.3267599591,-86996.7567599591,6078576671.636124,59416.38766376416,0.7817424818310943
P055,575954.54,635723.8725423515,-59769.33254235145,6078576671.636124,59416.38766376416,0.7817424818310943
P056,279485.45,328120.42160019814,-48634.97160019813,6078576671.636124,59416.38766376416,0.7817424818310943
P057,494533.88,452445.6070364865,42088.272963513504,6078576671.636124,59416.38766376416,0.7817424818310943
P058,360777.51,339704.2869791107,21073.22302088933,6078576671.636124,59416.38766376416,0.7817424818310943
P059,213750.63,176296.5406076254,37454.08939237462,6078576671.636124,59416.38766376416,0.7817424818310943
P060,464335.89,420240.0289465154,44095.86105348461,6078576671.636124,59416.38766376416,0.7817424818310943
P061,200628.01,218733.7916506331,-18105.781650633086,6078576671.636124,59416.38766376416,0.7817424818310943
P062,563522.9,597479.6869817018,-33956.786981701734,6078576671.636124,59416.38766376416,0.7817424818310943
P063,546221.05,505097.48321080254,41123.5667891975,6078576671.636124,59416.38766376416,0.7817424818310943
P064,216627.81,298162.3454437936,-81534.53544379357,6078576671.636124,59416.38766376416,0.7817424818310943
P065,277718.47,309642.2723899367,-31923.802389936754,6078576671.636124,59416.38766376416,0.7817424818310943
P066,245914.76,329337.2923367447,-83422.53233674471,6078576671.636124,59416.38766376416,0.7817424818310943
P067,349514.89,344034.3435900598,5480.546409940231,6078576671.636124,59416.38766376416,0.7817424818310943
P068,459535.83,549460.6004906478,-89924.77049064782,6078576671.636124,59416.38766376416,0.7817424818310943
P069,456469.58,482091.250579159,-25621.670579158992,6078576671.636124,59416.38766376416,0.7817424818310943
P070,552752.67,521190.5152662634,31562.15473373665,6078576671.636124,59416.38766376416,0.7817424818310943
P071,664206.63,604097.8949245783,60108.73507542175,6078576671.636124,59416.38766376416,0.7817424818310943
P072,273713.29,182810.94221854,90902.34778145998,6078576671.636124,59416.38766376416,0.7817424818310943
P073,328703.07,312175.59136878327,16527.47863121674,6078576671.636124,59416.38766376416,0.7817424818310943
P074,163583.62,196635.11289541563,-33051.492895415635,6078576671.636124,59416.38766376416,0.7817424818310943
P075,438588.43,338351.9786971342,100236.45130286581,6078576671.636124,59416.38766376416,0.7817424818310943
P076,495412.73,486562.95032558264,8849.77967441734,6078576671.636124,59416.38766376416,0.7817424818310943
P077,338871.38,451908.3626069464,-113036.98260694637,6078576671.636124,59416.38766376416,0.7817424818310943
P078,543605.74,661660.5793654486,-118054.83936544857,6078576671.636124,59416.38766376416,0.7817424818310943
P079,349397.25,392783.50999627425,-43386.25999627425,6078576671.636124,59416.38766376416,0.7817424818310943
P080,779362.99,772283.9296487086,7079.060351291439,6078576671.636124,59416.38766376416,0.7817424818310943
P081,109863.94,119770.30468306062,-9906.364683060616,6078576671.636124,59416.38766376416,0.7817424818310943
P082,278144.25,288906.09360775235,-10761.843607752351,6078576671.636124,59416.38766376416,0.7817424818310943
P083,710083.92,571816.8287867298,138267.0912132702,6078576671.636124,59416.38766376416,0.7817424818310943
P084,185553.12,182314.54335537786,3238.5766446221387,6078576671.636124,59416.38766376416,0.7817424818310943
P085,268201.07,383143.8534111257,-114942.78341112571,6078576671.636124,59416.38766376416,0.7817424818310943
P086,233656.09,217997.73045357736,15658.359546422638,6078576671.636124,59416.38766376416,0.7817424818310943
P087,431141.66,471560.67011088086,-40419.01011088089,6078576671.636124,59416.38766376416,0.7817424818310943
P088,349902.86,312857.14869795204,37045.711302047945,6078576671.636124,59416.38766376416,0.7817424818310943
P089,257592.69,302309.0395374838,-44716.349537483824,6078576671.636124,59416.38766376416,0.7817424818310943
P090,320429.34,404854.99555517454,-84425.65555517451,6078576671.636124,59416.38766376416,0.7817424818310943
P091,501930.04,597121.8631969183,-95191.8231969183,6078576671.636124,59416.38766376416,0.7817424818310943
P092,457648.29,459364.8697800548,-1716.5797800548025,6078576671.636124,59416.38766376416,0.7817424818310943
P093,329024.39,361265.35332234204,-32240.963322342024,6078576671.636124,59416.38766376416,0.7817424818310943
P094,292846.32,249568.79534359765,43277.524656402355,6078576671.636124,59416.38766376416,0.7817424818310943
P095,380301.59,343369.8427334877,36931.747266512306,6078576671.636124,59416.38766376416,0.7817424818310943
P096,336190.07,345478.04209447396,-9287.972094473953,6078576671.636124,59416.38766376416,0.7817424818310943
P097,168718.71,74653.03354531853,94065.67645468147,6078576671.636124,59416.38766376416,0.7817424818310943
P098,199579.95,149725.0704892974,49854.87951070262,6078576671.636124,59416.38766376416,0.7817424818310943
P099,284838.75,349073.5010012635,-64234.7510012635,6078576671.636124,59416.38766376416,0.7817424818310943
P100,337570.4,285097.2135988034,52473.18640119664,6078576671.636124,59416.38766376416,0.7817424818310943
