property_id,property_type,neighborhood,bedrooms,bathrooms,square_feet,lot_size,year_built,age,stories,condition,heating_type,parking_type,has_pool,has_fireplace,has_ac,has_basement,school_rating,distance_downtown,crime_rate,days_on_market,sale_price
P004,3,3,3,4.2,3585,10162.0,1963.0,63,1,1,2,0,0,0,1,0,6.7,15.4,43.1,78,482356.45
P005,0,6,6,4.3,2792,12390.0,2016.0,10,3,1,2,3,1,0,1,0,7.4,6.9,23.8,52,486809.84
P006,3,1,2,3.8,4399,6903.0,1967.0,59,1,3,3,3,0,1,1,1,9.0,10.6,26.4,45,379378.77
P007,1,4,2,1.9,3254,2558.0,2018.0,8,1,0,0,3,0,0,0,0,7.8,8.6,45.6,74,614664.47
P008,2,4,1,3.5,4404,5497.0,1975.0,51,1,3,3,3,0,1,1,1,9.3,24.3,10.6,42,493452.67
P009,1,4,3,1.8,1652,2104.0,1958.0,68,2,2,2,0,1,1,1,1,6.5,17.7,47.4,64,300799.26
P010,1,4,6,1.3,745,8255.0,1970.0,56,1,3,3,1,1,0,0,0,7.0,6.5,49.8,36,153851.05
P011,0,5,4,3.7,2416,4768.0,2014.0,12,3,3,3,3,1,0,1,0,7.0,2.8,47.5,34,299876.86
P012,3,3,4,2.1,3404,12269.0,2016.0,10,2,0,0,0,1,0,0,1,7.7,22.3,13.6,70,818862.82
P013,1,2,2,1.9,1757,2828.0,2004.0,22,1,2,2,3,1,0,1,0,7.4,24.1,48.8,72,314133.29
P014,2,5,5,1.5,3490,2152.0,1985.0,41,2,0,0,3,0,1,1,1,7.5,8.5,35.2,115,542078.3
P015,1,0,5,4.2,612,9086.0,2004.0,22,1,1,3,2,0,1,1,0,9.3,20.9,31.2,21,164537.58
P016,2,1,5,1.5,1753,3093.0,1969.0,57,3,1,2,3,0,0,0,1,6.6,5.3,15.2,19,243904.21
P017,3,3,4,3.3,3275,6385.0,1971.0,55,1,3,3,2,1,0,1,0,9.9,4.0,29.4,60,382522.86
P018,1,7,3,3.0,980,3442.0,1977.0,49,2,1,2,1,0,1,1,0,5.8,22.3,15.1,52,164101.24
