driver_age,driver_gender,driving_experience_years,accident_history_count,license_points,vehicle_type,vehicle_age_years,vehicle_value_brl,annual_mileage_km,usage_type,region,city_size,coverage_type,has_deductible,monthly_insurance_cost
56,F,38,1,0,Pickup,5,86965,28159,Trabalho,Sul,Grande,Intermediária,0,779.84
69,M,50,0,0,Sedan,3,57427,26545,Pessoal,Sudeste,Media,Intermediária,1,375.7
46,F,27,1,0,SUV,2,132841,17820,Uber,Sudeste,Media,Básica,0,813.7
32,F,12,0,6,Sports,4,226563,23953,Pessoal,Sul,Media,Básica,1,1243.64
60,M,42,1,4,Hatchback,2,54387,7872,Pessoal,Sudeste,Pequena,Completa,0,313.62
25,M,6,1,0,SUV,9,100840,14368,Trabalho,Sul,Grande,Intermediária,1,583.55
38,M,20,2,0,SUV,8,115154,6335,Pessoal,Norte,Grande,Intermediária,0,567.5
56,F,37,0,0,SUV,8,114093,10413,Uber,Sudeste,Media,Intermediária,1,622.23
36,F,18,1,6,SUV,5,119352,21496,Pessoal,Nordeste,Media,Completa,1,954.72
40,M,20,0,2,Hatchback,12,20000,25156,Pessoal,Sudeste,Grande,Intermediária,0,164.7
28,F,10,0,2,SUV,10,100384,18423,Uber,Norte,Media,Intermediária,0,629.35
28,M,10,2,2,Hatchback,5,39319,10294,Pessoal,Sudeste,Pequena,Intermediária,0,155.79
41,M,23,3,0,Sports,11,193437,15037,Pessoal,Sudeste,Media,Básica,1,1435.5
53,F,35,0,4,Sedan,13,20000,6987,Pessoal,Sudeste,Grande,Completa,1,150.0
57,M,39,2,2,SUV,3,132504,9829,Pessoal,Centro-Oeste,Grande,Completa,0,1339.37
41,F,21,3,0,SUV,3,143471,23369,Trabalho,Sudeste,Pequena,Completa,1,1841.97
20,M,1,2,0,Hatchback,1,45600,16434,Pessoal,Sudeste,Media,Completa,0,723.43
39,F,21,0,2,Sedan,9,32804,26475,Uber,Sul,Pequena,Completa,1,209.02
19,M,0,4,8,Hatchback,3,48249,19548,Trabalho,Centro-Oeste,Grande,Intermediária,1,1095.51
41,M,23,0,0,Sports,7,210537,21636,Pessoal,Sudeste,Media,Completa,1,2022.43
61,F,43,0,6,SUV,12,99417,29699,Trabalho,Sul,Media,Intermediária,1,940.42
47,M,28,0,4,Sports,9,213440,14428,Trabalho,Sudeste,Grande,Básica,1,1516.73
55,F,37,1,0,Minivan,1,99685,22007,Pessoal,Sudeste,Media,Intermediária,1,453.11
19,F,0,0,0,Sedan,8,38724,8156,Pessoal,Nordeste,Media,Completa,1,223.99
38,F,18,0,0,Sedan,13,20000,16328,Pessoal,Sul,Media,Intermediária,0,150.0
50,F,31,0,4,Minivan,0,92042,8389,Trabalho,Sudeste,Pequena,Completa,0,638.5
29,F,11,2,0,Minivan,12,46741,24801,Trabalho,Nordeste,Pequena,Básica,0,224.98
39,F,19,3,0,Sedan,1,81761,14458,Pessoal,Centro-Oeste,Pequena,Intermediária,1,417.43
61,F,43,0,2,Sedan,14,20000,7945,Trabalho,Sudeste,Pequena,Intermediária,1,150.0
42,F,24,3,4,Sedan,1,78414,14352,Trabalho,Nordeste,Media,Básica,0,387.75
66,M,48,3,0,Minivan,10,44797,15486,Trabalho,Sudeste,Grande,Básica,0,388.69
44,M,25,2,0,Sedan,12,20000,13632,Trabalho,Sudeste,Pequena,Básica,1,150.0
59,F,41,0,0,SUV,14,83721,7092,Pessoal,Norte,Media,Completa,0,330.82
45,M,25,1,2,Pickup,13,47596,24089,Uber,Norte,Grande,Básica,1,245.98
33,M,15,3,4,Sedan,5,62167,8759,Trabalho,Sudeste,Media,Básica,0,435.3
32,M,12,1,0,Hatchback,14,20000,10112,Trabalho,Sul,Grande,Básica,1,157.61
64,M,46,0,4,Sedan,13,20000,21937,Pessoal,Sudeste,Media,Intermediária,1,150.0
68,F,48,1,2,Sports,6,224984,9904,Pessoal,Sul,Grande,Intermediária,0,2526.96
61,F,41,1,2,Sedan,12,22134,18258,Pessoal,Sul,Grande,Intermediária,1,150.54
69,M,51,1,2,Hatchback,14,20000,6112,Pessoal,Sudeste,Pequena,Intermediária,1,150.0
20,F,2,0,0,Hatchback,14,20000,7777,Trabalho,Norte,Media,Básica,1,150.0
54,F,34,0,0,Sedan,2,78922,28481,Pessoal,Nordeste,Media,Intermediária,1,284.59
68,M,49,2,2,Sedan,10,34618,20587,Trabalho,Sudeste,Media,Completa,0,545.31
24,F,6,3,2,SUV,8,117245,15025,Trabalho,Sudeste,Pequena,Básica,0,1260.48
38,M,19,0,2,Sedan,4,68260,6314,Trabalho,Sul,Media,Intermediária,0,245.7
26,M,8,4,0,Pickup,4,100027,24877,Pessoal,Sul,Media,Básica,0,465.46
56,F,38,0,6,Pickup,10,73986,18562,Entrega,Sul,Pequena,Básica,1,235.2
35,M,17,1,2,SUV,11,97400,16304,Trabalho,Nordeste,Grande,Intermediária,1,694.8
21,F,3,2,0,Hatchback,3,38526,29674,Trabalho,Sul,Pequena,Intermediária,1,334.8
42,F,23,2,0,Hatchback,8,21593,28857,Pessoal,Nordeste,Grande,Básica,1,150.0
31,M,13,3,4,Pickup,7,76622,12015,Pessoal,Centro-Oeste,Media,Intermediária,1,414.67
67,F,47,0,4,SUV,11,90518,17117,Pessoal,Sul,Grande,Completa,1,855.8
26,F,6,3,0,Sedan,3,57657,10710,Pessoal,Sul,Media,Completa,0,397.35
43,M,24,0,6,Sedan,3,73316,17588,Pessoal,Centro-Oeste,Media,Completa,1,278.23
19,F,1,2,0,SUV,1,143699,22606,Pessoal,Norte,Pequena,Intermediária,1,1489.21
37,F,17,2,0,SUV,8,113955,25967,Trabalho,Centro-Oeste,Pequena,Intermediária,0,981.61
45,F,26,1,6,SUV,2,149862,26904,Pessoal,Sudeste,Pequena,Intermediária,0,1261.03
64,F,46,0,6,Sedan,3,57656,29256,Pessoal,Sudeste,Grande,Básica,1,410.94
24,M,4,3,2,Hatchback,13,20000,20436,Uber,Sudeste,Pequena,Intermediária,1,224.93
61,F,41,0,6,Sedan,6,45858,26815,Pessoal,Norte,Media,Intermediária,0,253.42
25,F,6,0,0,Sedan,9,44213,20196,Trabalho,Centro-Oeste,Pequena,Básica,1,150.0
64,F,46,2,6,SUV,7,115401,23089,Pessoal,Centro-Oeste,Grande,Completa,1,1892.66
52,F,34,1,0,Sedan,7,43758,21901,Pessoal,Sudeste,Media,Básica,1,167.3
31,F,11,2,0,Hatchback,3,36473,22604,Pessoal,Centro-Oeste,Pequena,Intermediária,1,177.89
34,M,14,0,0,SUV,14,83281,7506,Trabalho,Sudeste,Pequena,Básica,0,233.99
53,F,33,0,0,SUV,6,125964,25709,Pessoal,Sul,Media,Intermediária,1,550.12
67,F,49,2,0,SUV,9,113371,17072,Uber,Sudeste,Media,Básica,1,896.91
57,F,38,1,0,Sedan,0,82057,21136,Pessoal,Norte,Grande,Básica,1,274.81
21,F,2,0,0,Sedan,5,52673,19343,Pessoal,Centro-Oeste,Media,Intermediária,0,432.84
19,M,1,2,0,Sports,5,234644,10479,Trabalho,Sul,Media,Intermediária,1,3000.0
23,M,4,1,2,SUV,5,129281,15434,Pessoal,Nordeste,Grande,Intermediária,0,1216.49
59,M,39,1,0,SUV,11,88251,28820,Trabalho,Sudeste,Grande,Básica,1,520.52
21,M,2,1,0,Sedan,1,70054,8090,Pessoal,Sul,Grande,Intermediária,1,580.61
46,F,27,2,4,SUV,7,106716,11497,Pessoal,Sudeste,Media,Intermediária,1,747.88
35,F,16,2,6,Hatchback,13,20000,26552,Trabalho,Sudeste,Grande,Intermediária,0,260.85
43,F,23,2,4,Hatchback,14,20000,19691,Entrega,Sudeste,Media,Completa,0,251.95
61,M,43,0,0,Hatchback,14,20000,11993,Pessoal,Sudeste,Grande,Intermediária,1,150.0
51,F,31,2,4,Sedan,4,67001,5973,Trabalho,Centro-Oeste,Media,Intermediária,1,409.47
27,M,9,1,0,Sedan,4,65882,26661,Pessoal,Sudeste,Media,Completa,1,558.93
53,M,35,1,0,Pickup,1,109257,13257,Trabalho,Nordeste,Media,Completa,1,621.83
31,F,13,0,0,Minivan,3,90846,11092,Trabalho,Sul,Media,Completa,1,435.57
48,F,29,3,4,Sedan,11,25420,7906,Pessoal,Nordeste,Media,Intermediária,1,191.84
65,M,46,2,0,SUV,8,113012,5570,Pessoal,Centro-Oeste,Grande,Intermediária,1,734.72
32,M,14,0,0,Sedan,8,30468,17084,Pessoal,Centro-Oeste,Pequena,Básica,0,150.0
25,M,7,1,0,Sedan,5,50905,5307,Pessoal,Sudeste,Grande,Intermediária,1,212.0
31,M,12,3,6,SUV,10,102308,8742,Pessoal,Centro-Oeste,Grande,Completa,1,1139.77
40,F,20,0,2,Sedan,14,20000,13974,Trabalho,Sul,Media,Intermediária,1,150.0
57,M,39,4,0,Hatchback,8,24801,5765,Entrega,Nordeste,Grande,Completa,0,192.13
38,F,18,1,2,SUV,3,142523,13964,Pessoal,Sul,Pequena,Intermediária,1,585.3
33,M,14,1,2,Sedan,14,20000,29198,Pessoal,Sul,Grande,Intermediária,1,150.0
