customer_id,age,days_as_customer,loyalty_tier,total_purchases,total_spent,avg_order_value,days_since_last_purchase,has_loyalty_card,has_app,accepts_marketing,num_complaints,satisfaction_score,support_contacts,returns_rate,churned,gender_F,gender_M,region_Midwest,region_Northeast,region_Southeast,region_Southwest,region_West,acquisition_channel_Direct,acquisition_channel_Email,acquisition_channel_Organic Search,acquisition_channel_Paid Ads,acquisition_channel_Referral,acquisition_channel_Social Media,favorite_category_Beauty,favorite_category_Books,favorite_category_Electronics,favorite_category_Fashion,favorite_category_Food,favorite_category_Home & Garden,favorite_category_Sports,favorite_category_Toys,age_binned
C001,56,112,2,94,8537.46,90.82,128,True,False,True,5,2.7,2,0.22,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,Senior
C002,41,1371,0,71,4474.5,63.02,221,False,True,True,5,3.7,2,0.07,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,Middle-Aged
C003,55,1181,2,96,9663.57,100.66,27,True,True,False,5,1.9,6,0.01,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Senior
C004,22,382,0,79,4872.61,61.68,258,False,False,True,2,3.0,0,0.09,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Young
C005,45,94,3,82,15762.83,192.23,18,False,True,False,2,2.9,7,0.27,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Middle-Aged
C006,24,499,2,94,6535.17,69.52,310,True,False,True,4,3.5,4,0.02,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,Young
C007,38,379,2,74,19213.12,259.64,227,True,False,True,5,1.9,2,0.04,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,Middle-Aged
C008,73,918,0,3,9722.93,3240.98,290,True,False,True,4,2.1,3,0.07,1,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,Senior
C009,58,182,2,75,11117.25,148.23,37,False,True,True,4,3.2,7,0.23,1,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Senior
C010,49,538,2,49,8411.58,171.66,77,False,True,False,0,1.6,10,0.27,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,Senior
C011,52,160,3,85,2822.41,33.2,259,False,False,False,5,2.5,9,0.05,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,Senior
C012,74,1197,3,37,11891.93,321.4,276,False,True,False,0,3.4,6,0.27,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Senior
C013,59,463,3,25,18480.33,739.21,349,True,False,False,3,3.3,8,0.12,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Senior
C014,41,74,0,59,11779.32,199.65,292,False,True,True,0,3.0,0,0.06,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,Middle-Aged
C015,74,734,3,86,7126.51,82.87,16,False,True,True,3,2.8,7,0.24,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,Senior
